h,r0Mul,rRatio,tauMin,allFaces,count,agree,refOnly,genOnly,energy,wallSec
0.06,3.0,2.0,0.85,false,54,4,36,50,64.3267,4.73
0.06,3.0,2.0,0.9,false,46,2,38,44,51.5609,5.31
0.06,3.0,100.0,0.8,false,58,3,37,55,76.6349,4.20
0.06,3.0,100.0,0.85,false,54,4,36,50,64.3267,4.66
0.06,3.0,100.0,0.9,false,46,2,38,44,51.5609,5.05
0.06,5.0,1.2,0.8,false,56,4,36,52,64.1730,4.27
0.06,5.0,1.2,0.85,false,56,7,33,49,56.2101,4.69
0.06,5.0,1.2,0.9,false,52,3,37,49,44.7537,5.45
0.06,5.0,1.414,0.8,false,56,4,36,52,64.1730,4.14
0.06,5.0,1.414,0.85,false,56,7,33,49,56.2101,4.75
0.06,5.0,1.414,0.9,false,52,3,37,49,44.7537,5.41
0.06,5.0,2.0,0.8,false,56,4,36,52,64.1730,4.20
0.06,5.0,2.0,0.85,false,56,7,33,49,56.2101,4.75
0.06,5.0,2.0,0.9,false,52,3,37,49,44.7537,5.25
0.06,5.0,100.0,0.8,false,56,4,36,52,64.1730,4.15
0.06,5.0,100.0,0.85,false,56,7,33,49,56.2101,4.65
0.06,5.0,100.0,0.9,false,52,3,37,49,44.7537,5.30
0.08,1.0,1.2,0.8,false,56,4,36,52,69.6005,5.71
0.08,1.0,1.2,0.85,false,52,2,38,50,56.2872,6.19
0.08,1.0,1.2,0.9,false,42,2,38,40,38.9940,6.94
0.08,1.0,1.414,0.8,false,66,4,36,62,78.8359,5.23
0.08,1.0,1.414,0.85,false,58,3,36,54,59.8077,5.62
0.08,1.0,1.414,0.9,false,46,2,38,44,42.0126,6.00
0.08,1.0,2.0,0.8,false,96,4,36,92,122.688,4.27
0.08,1.0,2.0,0.85,false,70,10,30,60,98.8395,4.95
0.08,1.0,2.0,0.9,false,70,4,36,66,78.3670,5.47
0.08,1.0,100.0,0.8,false,80,4,36,76,123.987,8.86
0.08,1.0,100.0,0.85,false,80,3,37,77,115.232,9.50
