localMax,cgMax,count,agree,refOnly,genOnly,energy,maxResid,wallSec,localGS,cg,direct,localIters
100,50,40,5,35,35,34.0129,0.370533,10.80,4,388,179,56753
100,200,40,5,35,35,34.0129,0.370533,8.66,4,566,1,56753
100,500,40,5,35,35,34.0129,0.370533,8.47,4,566,1,56753
100,2000,40,5,35,35,34.0129,0.370533,8.38,4,566,1,56753
250,50,40,5,35,35,34.0129,0.370533,10.36,6,402,163,141505
250,200,40,5,35,35,34.0129,0.370533,7.96,6,564,1,141505
250,500,40,5,35,35,34.0129,0.370533,7.99,6,564,1,141505
250,2000,40,5,35,35,34.0129,0.370533,7.86,6,564,1,141505
500,50,40,5,35,35,34.0129,0.370533,9.91,6,430,135,282505
500,200,40,5,35,35,34.0129,0.370533,7.98,6,564,1,282505
500,500,40,5,35,35,34.0129,0.370533,7.74,6,564,1,282505
500,2000,40,5,35,35,34.0129,0.370533,7.70,6,564,1,282505
1000,50,40,5,35,35,34.0129,0.370533,9.32,6,464,101,564505
1000,200,40,5,35,35,34.0129,0.370533,8.20,6,564,1,564505
1000,500,40,5,35,35,34.0129,0.370533,7.85,6,564,1,564505
1000,2000,40,5,35,35,34.0129,0.370533,7.73,6,564,1,564505
2500,50,40,5,35,35,34.0129,0.370533,7.81,6,499,66,1410505
2500,200,40,5,35,35,34.0129,0.370533,7.08,6,564,1,1410505
2500,500,40,5,35,35,34.0129,0.370533,7.57,6,564,1,1410505
2500,2000,40,5,35,35,34.0129,0.370533,7.82,6,564,1,1410505
5000,50,40,5,35,35,34.0129,0.370533,8.02,21,507,43,2810866
5000,200,40,5,35,35,34.0129,0.370533,7.06,21,549,1,2810866
5000,500,40,5,35,35,34.0129,0.370533,6.81,21,549,1,2810866
5000,2000,40,5,35,35,34.0129,0.370533,6.78,21,549,1,2810866
10000,50,40,5,35,35,34.0129,0.370533,6.87,79,462,30,5382279
10000,200,40,5,35,35,34.0129,0.370533,6.49,79,491,1,5382263
10000,500,40,5,35,35,34.0129,0.370533,6.03,79,491,1,5382263
10000,2000,40,5,35,35,34.0129,0.370533,6.28,79,491,1,5382263
50000,50,40,5,35,35,34.0129,0.370533,4.75,538,11,22,11451551
50000,200,40,5,35,35,34.0129,0.370533,5.06,538,32,1,11465000
50000,500,40,5,35,35,34.0129,0.370533,4.77,538,32,1,11465000
50000,2000,40,5,35,35,34.0129,0.370533,4.99,538,32,1,11465000
